0.010000 0.793009 0.589058 0.003726 1.005249
0.050000 0.773521 0.435529 0.014828 0.993073
0.100000 0.785986 0.314427 0.023470 0.938435
0.150000 0.765588 0.261812 0.032075 0.935140
0.200000 0.755528 0.298789 0.052997 0.927366
0.250000 0.763962 0.172604 0.041619 0.821027
0.300000 0.717385 0.208574 0.064753 0.820287
0.350000 0.624700 0.203589 0.068091 0.724682
0.400000 0.503801 0.153379 0.057008 0.579002
0.450000 0.373661 0.101765 0.050828 0.395716
0.500000 0.278292 0.064557 0.064509 0.284819
0.550000 0.384421 0.052358 0.104467 0.380764
0.600000 0.557153 0.054088 0.144900 0.486136
0.650000 0.712967 0.064147 0.191596 0.623129
0.700000 0.837506 0.074836 0.240889 0.730561
0.750000 0.880439 0.060819 0.252168 0.758955
0.800000 0.904046 0.045638 0.257134 0.727039
0.850000 0.949740 0.030776 0.251542 0.800216
0.900000 0.950017 0.023473 0.315368 0.784122
0.950000 0.994407 0.012492 0.369628 0.822930
0.990000 1.038318 0.002365 0.370183 0.816892
