# xa Da Db fia fib | ra rb DIa DIb Dd S DIa_np DIb_np Dd_np 
0.0000000000 0.0010163333 0.0015343750 1.0183890000 1.2816480000 1.0075454055  -inf 0.0010428324  -inf   nan   nan 0.0006226164 0.0007835661 0.0006226164
0.0500000000 0.0008738333 0.0012900000 1.1891910909 1.4852690909 0.9804477218 0.9759250037 0.0010188370 0.0018698695 0.0010613886 0.9800476507 0.0006195069 0.0007737482 0.0006272190
0.1000000000 0.0007505000 0.0010888333 1.4383710000 1.7157592000 1.0127709478 1.0092920293 0.0010932836 0.0018855350 0.0011725088 1.0122098785 0.0006390320 0.0007622685 0.0006513556
0.1500000000 0.0006408333 0.0009153333 1.6053944000 1.8331920000 0.9972508970 1.0564969929 0.0010259620 0.0017727827 0.0011379851 1.0104923204 0.0006051318 0.0006909971 0.0006180116
0.2000000000 0.0005556667 0.0007888333 1.8330870000 2.0231736000 0.9735541415 1.0161879139 0.0009916480 0.0016217818 0.0011176747 0.9855537489 0.0005976155 0.0006595868 0.0006100098
0.2500000000 0.0004668333 0.0006601667 1.9846223333 2.1038413333 1.0433655409 1.0057658496 0.0009666655 0.0013968940 0.0010742226 1.0308373971 0.0005427120 0.0005753134 0.0005508623
0.3000000000 0.0003886667 0.0005551667 2.0335798750 2.1594566250 0.9688607221 0.9971564311 0.0007657727 0.0011954493 0.0008946757 0.9800081262 0.0004649076 0.0004936849 0.0004735408
0.3500000000 0.0002366667 0.0003940000 1.6616616000 1.7660923000 0.8962801169 1.0046000687 0.0003524710 0.0006990413 0.0004737706 0.9491299565 0.0002456835 0.0002611240 0.0002510877
0.4000000000 0.0001253333 0.0002311667 2.5466015000 2.7262881000 0.8517214439 1.0162877048 0.0002718474 0.0006404919 0.0004193052 0.9452428242 0.0002069633 0.0002215665 0.0002128045
0.4500000000 0.0000751667 0.0001233333 3.9986778000 4.1831820000 0.7937536108 0.9088560563 0.0002385764 0.0004689023 0.0003422230 0.8609847602 0.0001867505 0.0001953674 0.0001906281
0.5000000000 0.0000661667 0.0000661667 6.5550010000 6.6336900000 0.7212151683 0.7432334416 0.0003128073 0.0003262268 0.0003195171 0.7322899899 0.0002168613 0.0002194646 0.0002181629
0.5500000000 0.0001275000 0.0000778333 4.0973702000 3.8692712000 0.8696267468 0.8031326664 0.0004543058 0.0002418700 0.0003374661 0.8421417632 0.0001980257 0.0001870017 0.0001919625
0.6000000000 0.0002446667 0.0001331667 2.5321810000 2.4052400000 0.9771769454 0.8213120803 0.0006054005 0.0002630644 0.0003999989 0.9090990861 0.0002183558 0.0002074094 0.0002117880
0.6500000000 0.0003868333 0.0002318333 1.5699812727 1.4408403636 0.9980753319 0.9066578373 0.0006061522 0.0003028553 0.0004090092 0.9518814769 0.0002275818 0.0002088618 0.0002154138
0.7000000000 0.0005768333 0.0004043333 2.2212979091 2.0706327273 0.9875568785 0.9662001780 0.0012653751 0.0008089277 0.0009458619 0.9746595428 0.0005280243 0.0004922097 0.0005029541
0.7500000000 0.0006736667 0.0004765000 2.1186120000 1.9680623636 1.0082540288 0.9961623560 0.0014390187 0.0009341828 0.0010603918 1.0002320078 0.0005912874 0.0005492702 0.0005597745
0.8000000000 0.0007898333 0.0005563333 1.9836185455 1.8236501818 1.0248654453 0.9476884601 0.0016056854 0.0009614843 0.0010903245 0.9691846840 0.0006474852 0.0005952690 0.0006057122
0.8500000000 0.0009100000 0.0006368333 1.8936979167 1.6552257500 1.0876354267 1.0483244940 0.0018742842 0.0011050419 0.0012204283 1.0571262904 0.0007094705 0.0006201274 0.0006335288
0.9000000000 0.0010946667 0.0007551667 1.6993369091 1.4271847273 1.0256367539 1.0092685160 0.0019078972 0.0010877516 0.0011697661 1.0119024380 0.0007594018 0.0006377821 0.0006499440
0.9500000000 0.0013555000 0.0009175000 1.6285365000 1.2366492000 1.0381308519 1.0472138775 0.0022916544 0.0011881957 0.0012433686 1.0463701873 0.0008910532 0.0006766322 0.0006873533
1.0000000000 0.0015659167 0.0010383333 1.8448091000 1.0472381000   inf 1.0266508104   inf 0.0011163618   nan   nan 0.0011517924 0.0006538351 0.0006538351
