49.000000 14.078892 9164 9876 9184 1349 7455 7543 7603 26901 61 61 61 3000 9800 0 9735 0 65 0
50.000000 14.349113 9396 9916 9440 1349 7563 7667 7763 26901 61 61 61 3000 10000 0 9935 0 65 0
51.000000 14.624630 9550 10090 9746 1349 7690 7778 7906 26901 62 62 62 3000 10200 0 10134 0 66 0
52.000000 14.955371 9854 10202 9942 1349 7851 7935 8055 26901 67 67 67 3000 10400 0 10331 0 69 0
53.000000 15.239691 10102 10470 10234 1349 8016 8108 8204 26901 70 70 70 3000 10600 0 10528 0 72 0
54.000000 15.525736 10450 10562 10446 1349 8169 8237 8317 26901 75 75 75 3000 10800 0 10723 0 77 0
55.000000 15.827225 10566 10726 10586 1349 8292 8344 8448 26901 78 78 78 3000 11000 0 10920 0 80 0
56.000000 16.099845 10800 11024 10760 1349 8414 8490 8574 26901 82 82 82 3000 11200 0 11116 0 84 0
57.000000 16.371582 11022 11270 10970 1349 8527 8595 8703 26901 85 85 85 3000 11400 0 11313 0 87 0
58.000000 16.649793 11222 11330 11186 1349 8661 8765 8857 26901 85 85 85 3000 11600 0 11513 0 87 0
59.000000 16.958285 11392 11556 11340 1349 8832 8884 9056 26901 86 86 86 3000 11800 0 11712 0 88 0
60.000000 17.258604 11632 11720 11596 1349 8968 9028 9180 26901 86 86 86 3000 12000 0 11910 0 90 0
61.000000 17.568097 11828 11812 11632 1349 9103 9187 9327 26901 87 87 87 3000 12200 0 12109 0 91 0
62.000000 17.866535 11962 12006 11842 1349 9221 9389 9473 26901 89 89 89 3000 12400 0 12307 0 93 0
63.000000 18.173970 12244 12100 11964 1349 9349 9553 9637 26901 91 91 91 3000 12600 0 12505 0 95 0
64.000000 18.502912 12624 12208 12088 1349 9511 9687 9743 26901 91 91 91 3000 12800 0 12705 0 95 0
65.000000 18.770544 12750 12494 12270 1349 9633 9837 9917 26901 93 93 93 3000 13000 0 12903 0 97 0
66.000000 19.063201 12988 12604 12464 1349 9743 9979 10079 26901 95 95 95 3000 13200 0 13101 0 99 0
67.000000 19.323770 13238 12814 12538 1349 9919 10187 10223 26901 97 97 97 3000 13400 0 13299 0 101 0
68.000000 19.632486 13436 12988 12788 1349 10055 10307 10399 26901 97 97 97 3000 13600 0 13499 0 101 0
69.000000 19.937451 13764 13160 12952 1349 10182 10438 10510 26901 100 100 100 3000 13800 0 13696 0 104 0
70.000000 20.233127 13944 13448 13128 1349 10322 10570 10630 26901 100 100 100 3000 14000 0 13896 0 104 0
71.000000 20.504443 14190 13742 13358 1349 10489 10709 10785 26901 101 101 101 3000 14200 0 14095 0 105 0
72.000000 20.792756 14364 14060 13528 1349 10596 10880 10904 26901 104 100 104 3000 14400 0 14294 0 106 0
73.000000 21.070283 14548 14308 13728 1349 10744 11044 11048 26901 104 100 104 3000 14600 0 14494 0 106 0
74.000000 21.346806 14732 14660 13844 1349 10869 11157 11177 26901 107 103 107 3000 14800 0 14691 0 109 0
75.000000 21.633762 14948 14972 14044 1349 11058 11302 11330 26901 112 108 112 3000 15000 0 14886 0 114 0
76.000000 21.925291 15054 15146 14214 1349 11181 11413 11461 26901 119 115 115 3000 15200 0 15081 0 119 0
77.000000 22.231783 15234 15262 14286 1349 11332 11560 11624 26901 122 118 118 3000 15400 0 15278 0 122 0
78.000000 22.478820 15434 15542 14466 1349 11471 11683 11787 26901 123 119 119 3000 15600 0 15477 0 123 0
79.000000 22.778296 15676 15756 14744 1349 11639 11855 11951 26901 123 119 119 3000 15800 0 15677 0 123 0
80.000000 23.056136 15900 15900 14912 1349 11744 11996 12104 26901 124 120 120 3000 16000 0 15876 0 124 0
81.000000 23.325935 16200 16024 15024 1349 11910 12110 12254 26901 128 124 124 3000 16200 0 16072 0 128 0
