0.148258 0.279608 1.854271 0.045226 9.000000 1.000000
0.296516 0.593380 1.359362 0.103275 13.666667 3.000000
0.444774 0.888767 2.000560 -0.033053 -3.933333 3.933333
0.593032 1.165723 1.465995 -0.003359 -0.444444 4.888889
0.741290 1.448751 1.139644 0.006378 0.904762 2.809524
0.889548 1.703569 0.722828 -0.009220 -1.571429 2.809524
1.037806 1.963968 0.252874 0.005747 1.000000 2.833333
1.186064 2.285353 0.551080 0.030417 4.393939 1.303030
1.334322 2.595842 0.594333 0.040268 6.000000 1.888889
1.482580 2.870625 0.097921 0.027498 4.555556 1.888889
1.630838 3.193729 0.022405 0.000152 0.025641 2.128205
1.779096 3.483039 0.185868 0.022204 4.076923 2.128205
1.927354 3.754745 0.483114 0.054138 10.000000 1.809524
2.075612 4.050329 0.483902 0.041771 7.755556 1.844444
2.223870 4.335346 0.730116 0.039321 7.333333 1.416667
2.372128 4.641256 0.543198 0.037596 7.039216 1.941176
2.520385 4.968759 0.647349 0.037059 6.962963 2.148148
2.668643 5.293497 0.556548 0.027274 5.140351 2.298246
2.816901 5.595010 0.449974 0.017646 3.030303 1.818182
2.965159 5.864799 0.567128 0.017358 2.760000 2.066667
3.113417 6.113523 1.080019 0.018847 3.025641 2.358974
3.261675 6.422636 1.067383 0.021877 3.543210 2.209877
3.409933 6.713144 1.609786 0.038285 6.034483 2.057471
3.558191 7.001144 1.707897 0.035500 5.644444 2.355556
3.706449 7.285780 1.475040 0.016103 2.500000 2.583333
3.854707 7.573898 1.108617 0.024252 3.916667 2.583333
4.002965 7.863248 0.808299 0.017393 2.745098 2.196078
4.151223 8.130816 0.647559 0.027373 4.352381 1.857143
4.299481 8.397990 0.854358 0.026549 4.135135 1.180180
4.447739 8.669897 0.988259 0.040479 6.350877 1.017544
4.595997 8.954438 0.851106 0.047990 7.581197 0.846154
4.744255 9.205412 0.873395 0.041660 6.794872 0.846154
4.892513 9.518786 0.899477 0.040911 6.544715 0.609756
5.040771 9.791329 0.619752 0.024518 3.852713 0.767442
5.189029 10.117305 0.565076 0.014568 2.303030 0.727273
5.337287 10.389739 0.600559 0.011973 1.903704 0.614815
5.485545 10.675610 0.914876 0.013779 2.202899 0.753623
5.633803 10.934727 0.949682 0.028955 4.555556 0.611111
5.782061 11.181055 1.097966 0.036167 5.721088 0.673469
5.930319 11.486609 0.726911 0.031904 5.176871 0.673469
6.078577 11.788773 0.642819 0.024093 3.849673 1.013072
6.226835 12.058824 0.618477 0.031660 5.183007 1.013072
6.375093 12.329930 0.545625 0.030728 5.051282 1.051282
6.523351 12.634588 0.486986 0.028848 4.761006 1.125786
6.671609 12.912855 0.503633 0.019266 3.133333 1.084848
6.819867 13.197083 0.487000 0.006965 1.079096 1.418079
6.968125 13.512756 0.454688 0.008102 1.240437 1.371585
