0.100000 0.900000 0.086146 0.301823 0.217128 0.094955 0.006864 0.629212 0.063228 1.000000 1.000000
0.150000 0.850000 0.097283 0.358936 0.273718 0.112923 0.008653 0.629212 0.063228 1.000000 1.000000
0.200000 0.800000 0.108368 0.422074 0.338217 0.132787 0.010692 0.629212 0.063228 1.000000 1.000000
0.250000 0.750000 0.118409 0.488179 0.407491 0.153584 0.012882 0.629212 0.063228 1.000000 1.000000
0.300000 0.700000 0.126443 0.553586 0.477590 0.174162 0.015099 0.629212 0.063228 1.000000 1.000000
0.350000 0.650000 0.131835 0.615198 0.545060 0.193545 0.017232 0.629212 0.063228 1.000000 1.000000
0.400000 0.600000 0.134361 0.671081 0.607705 0.211126 0.019212 0.629212 0.063228 1.000000 1.000000
0.450000 0.550000 0.134106 0.720389 0.664569 0.226639 0.021010 0.629212 0.063228 1.000000 1.000000
0.500000 0.500000 0.131325 0.762951 0.715542 0.240029 0.022621 0.629212 0.063228 1.000000 1.000000
0.550000 0.450000 0.126333 0.798890 0.760973 0.251336 0.024057 0.629212 0.063228 1.000000 1.000000
0.600000 0.400000 0.119439 0.828319 0.801407 0.260594 0.025336 0.629212 0.063228 1.000000 1.000000
0.650000 0.350000 0.110926 0.851107 0.837434 0.267763 0.026475 0.629212 0.063228 1.000000 1.000000
0.700000 0.300000 0.101035 0.866593 0.869618 0.272635 0.027492 0.629212 0.063228 1.000000 1.000000
0.750000 0.250000 0.089973 0.873085 0.898467 0.274678 0.028404 0.629212 0.063228 1.000000 1.000000
0.800000 0.200000 0.077909 0.866629 0.924422 0.272647 0.029225 0.629212 0.063228 1.000000 1.000000
0.850000 0.150000 0.064987 0.837368 0.947865 0.263441 0.029966 0.629212 0.063228 1.000000 1.000000
0.900000 0.100000 0.051326 0.754972 0.969119 0.237519 0.030638 0.629212 0.063228 1.000000 1.000000
