0.1 0.243441 0.753855 0.159959
0.15 0.263403 0.767426 0.175275
0.2 0.285833 0.781002 0.190795
0.25 0.31071 0.794507 0.205499
0.3 0.337826 0.807869 0.21824
0.35 0.366796 0.821028 0.227994
0.4 0.397116 0.833935 0.234062
0.45 0.428233 0.846556 0.236126
0.5 0.459619 0.858868 0.234189
0.55 0.490811 0.870856 0.228467
0.6 0.521438 0.882512 0.219285
0.65 0.55122 0.893832 0.207006 
0.7 0.579964 0.904814 0.191993
0.75 0.607548 0.91546 0.174577
0.8 0.633904 0.925773 0.15506
0.85 0.65901 0.935758 0.133703
0.9 0.682873 0.94542 0.110735
