0.010000 0.005844 0.000045 0.008791 0.000039 0.785464 0.004875 0.732984 0.000517 0.002480 0.000012 0.000000 0.000001 0.003998 0.000017 0.000000 0.000001 0.030500 0.0502
0.100000 0.004534 0.000023 0.006612 0.000031 0.738875 0.001751 0.718597 0.000528 0.002045 0.000009 0.000000 0.000001 0.003066 0.000014 0.000000 0.000001 0.027500 0.0402
0.200000 0.003354 0.000017 0.004789 0.000024 0.694598 0.000966 0.701452 0.000565 0.001610 0.000008 0.000000 0.000001 0.002276 0.000011 0.000000 0.000001 0.021600 0.0290
0.300000 0.002361 0.000014 0.003379 0.000018 0.646476 0.000973 0.670237 0.000647 0.001217 0.000006 0.000000 0.000001 0.001680 0.000009 0.000000 0.000001 0.017000 0.0225
0.400000 0.000786 0.000007 0.001443 0.000012 0.469681 0.000771 0.482985 0.000584 0.000558 0.000004 0.000000 0.000001 0.000996 0.000007 0.000000 0.000001 0.009440 0.0142
0.500000 0.000401 0.000004 0.000401 0.000004 0.294152 0.000735 0.294390 0.000784 0.000454 0.000004 0.000000 0.000001 0.000454 0.000004 0.000000 0.000001 0.009894 0.0100
0.600000 0.001432 0.000011 0.000780 0.000007 0.482572 0.000571 0.469269 0.000784 0.000989 0.000007 0.000000 0.000001 0.000554 0.000004 0.000000 0.000001 0.017626 0.0148
0.700000 0.003431 0.000018 0.002397 0.000014 0.668503 0.000506 0.645014 0.000843 0.001711 0.000009 0.000000 0.000001 0.001239 0.000007 0.000000 0.000001 0.023727 0.0226
0.800000 0.004792 0.000022 0.003363 0.000015 0.702103 0.000553 0.696624 0.000895 0.002275 0.000010 0.000000 0.000001 0.001609 0.000007 0.000000 0.000001 0.030000 0.0290
0.900000 0.006657 0.000032 0.004571 0.000023 0.717915 0.000504 0.739448 0.001624 0.003091 0.000015 0.000000 0.000001 0.002061 0.000010 0.000000 0.000001 0.039588 0.0403
0.990000 0.008916 0.000026 0.005890 0.000047 0.732983 0.000563 0.781849 0.005592 0.004055 0.000011 0.000000 0.000001 0.002511 0.000008 0.000000 0.000001 0.045588 0.0503
