0.010000 0.749993 0.043187 0.733268 0.423963 0.004635 0.002695 0.911646 0.053747
0.100000 0.796718 0.051410 0.071456 0.143109 0.005370 0.010591 0.881981 0.060197
0.200000 0.743303 0.038897 0.225181 0.079078 0.039796 0.013969 0.892150 0.045512
0.300000 0.689137 0.046914 0.212493 0.062287 0.066109 0.019359 0.762180 0.054737
0.400000 0.510164 0.027655 0.146395 0.029598 0.054591 0.011053 0.560603 0.027942
0.500000 0.295937 0.019657 0.065956 0.012976 0.065890 0.012954 0.260790 0.018200
0.600000 0.601601 0.032297 0.061082 0.012272 0.163292 0.032840 0.481115 0.025019
0.700000 0.874935 0.047572 0.082152 0.019189 0.264454 0.061873 0.678305 0.038590
0.800000 0.890551 0.046993 0.040590 0.011684 0.229097 0.066056 0.682375 0.033860
0.900000 0.897812 0.043100 0.014889 0.007431 0.200605 0.100335 0.775523 0.033832
0.990000 0.878046 0.046354 -0.001420 0.002503 -0.224826 0.393387 0.768169 0.040083
